	Gujrati	English
2134	ગિરનારી કાગડો	Large-billed crow
2135	રામચકલી-પીળી ચોટલી	Yellow-cheeked tit
2136	કાબરી રામચકલી	Southern black tit
2137	મખમલી થડચડ	Velvet-fronted nuthatch
2138	કથ્થાઇ પેટ થડચડ	Indian nuthatch
2139	કસ્તુરી	Common blackbird
2140	રામચકલી	Grey tit
2141	કાબર	Common myna
2142	મેના-કાબર કુટુંબ	Starling
2143	શિરાજી કાબર	Bank myna
2144	વન કાબર	Jungle myna
2145	દશેરા	Vijayadashami
2146	પાન્ડુ શામા	Blue rock thrush
2147	મલાગીર કસ્તુરો	Orange-headed thrush
2148	તુલસીશ્યામ	Tulsishyam
2150	ગુજરાતના રાજ્યપાલો	List of governors of Gujarat
2151	ગુજરાતના જિલ્લાઓ	List of districts of Gujarat
2152	ગુજરાત	Gujarat
2153	તરણેતર	Tarnetar
2154	મેલબોર્ન	Melbourne
2155	સાહિત્ય અકાદમી પુરસ્કાર-ગુજરાતી	List of Sahitya Akademi Award winners for Gujarati
2156	મહાદેવભાઈ દેસાઈ	Mahadev Desai
2157	ખંડ	Continent
2158	ભારતનાં વિશ્વ ધરોહર સ્થળો	List of World Heritage Sites in India
2159	અભિમન્યુ	Abhimanyu
2160	દ્રોણ	Drona
2161	આગ્રાનો કિલ્લો	Agra Fort
2162	દેવચકલી	Indian robin
2163	ગોદાવરી	Godavari River
2164	અક્ષરધામ 	Akshardham 
2165	પરમવીર ચક્ર	Param Vir Chakra
2166	જેમ્સ બોન્ડ	James Bond
2167	Sisterlinks	Sister project links
2168	નોબેલ પારિતોષિક વડે સન્માનીત મહિલાઓ	List of female Nobel laureates
2169	પંચાંગ	Panchangam
2171	ચંદ્રયાન-૧	Chandrayaan-1
2172	પ્રાથમિક સારવાર	First aid
2173	સાબુદાણા	Sago
2174	ધન તેરસ	Dhanteras
2175	શ્રીલંકા	Sri Lanka
2176	કાળી ચૌદશ	Naraka Chaturdashi
2177	ભારતના રાષ્ટ્રપતિ	Presidents of India
2179	બભ્રુવાહન	Babruvahana
2180	વિરાટ	Virata
2181	કૃતવર્મા	Kritavarma
2182	અશ્વત્થામા	Ashwatthama
2183	બલરામ	Balarama
2184	જયદ્રથ	Jayadratha
2185	નોબેલ પારિતોષિક વડે સન્માનીત મહાનુભાવો	List of Nobel laureates
2187	રાજસ્થાની	Rajasthani people
2188	ભગત સિંહ	Bhagat Singh
2192	જૂનાગઢ જિલ્લો	Junagadh district
2194	ભારતીય અવકાશ કાર્યક્રમ	Indian space programme
2195	ઇન્સેટ ઉપગ્રહ શ્રેણી	Indian National Satellite System
2196	ઇસરો	Indian Space Research Organisation
2198	આર્યભટ્ટ 	Aryabhata 
2199	રોહિણી 	Rohini 
2200	ભાસ્કર 	Bhaskara 
2201	લોહાણા	Lohana
2202	તેલુગુ ભાષા	Telugu language
2203	એપલ 	Ariane Passenger Payload Experiment
2204	આઇ.આર.એસ. ઉપગ્રહ શ્રેણી	Indian Remote Sensing Programme
2205	સરોસ ઉપગ્રહ શ્રેણી	Stretched Rohini Satellite Series
2207	હેમસેટ	HAMSAT
2208	કલ્પના-૧	Kalpana-1
2209	એસ્ટ્રોસેટ	Astrosat
2212	સુનિતા નારાયણ	Sunita Narain
2213	અક્ષય વિકાસ	Sustainable development
2214	પ્રમબનન	Prambanan
2215	ગીતા પ્રેસ	Gita Press
2218	ઉપગ્રહ પ્રક્ષેપણ યાન	Satellite
2219	કટરા	Katra, Jammu and Kashmir
2220	અંતકડી	Antakshari
2221	ઇન્દીવર	Indeevar
2222	Infobox Rocket	Infobox rocket
2223	એ.એસ.એલ.વી.યાન	Augmented Satellite Launch Vehicle
2224	અબ્દુલ કલામ	A. P. J. Abdul Kalam
2225	પ્રતિભા પાટીલ	Pratibha Patil
2226	ભારતના રાષ્ટ્રપતિ	Presidents of India
2227	રાજેન્દ્ર પ્રસાદ	Rajendra Prasad
2228	કાર્બ્યુરેટર	Carburetor
2229	ગેટવે ઓફ ઇન્ડિયા	Gateway of India
2230	રીવર રાફ્ટિંગ	Rafting
2231	ધાર્મિક સ્થળો	Religious places
2233	જીસેટ	GSAT
2234	વડ	Banyan
2235	કમળ	Nelumbo nucifera
2236	રાષ્ટ્રીય પંચાંગ	Indian national calendar
2237	કેરી	Mangifera indica
2238	હોકી	Field hockey
2240	નવા સુદાસણા	Nava Sudasana
2242	મક્કા	Mecca
2243	નમાજ઼	Salah
2244	મદીના	Medina
2245	ઓઝત નદી	Ozat River
2246	ક્રિકેટર	Cricketers
2248	લડાખ	Ladakh
2250	હિતોપદેશ	Hitopadesha
2251	ગિજુભાઈ બધેકા	Gijubhai Badheka
2253	કચ્છી ભાષા	Kutchi language
2255	ચામુંડા	Chamunda
2257	સંદર્ભ	Citation needed
2258	સંદર્ભ	Citation
2259	બહાદુર શાહ ઝફર	Bahadur Shah Zafar
2260	મોક્ષદા એકાદશી	Mokshada Ekadashi
2261	આમલકી એકાદશી	Amalaka Ekadashi
2262	કામદા એકાદશી	Kamada Ekadashi
2263	મકર સંક્રાંતિ	Makar Sankranti
2265	અડાલજની વાવ	Adalaj Stepwell
2266	પાટણ જિલ્લો	Patan district
2271	એરિસ્ટોટલ	Aristotle
2272	પ્લેટો	Plato
2273	સોક્રેટિસ	Socrates
2274	પ્રજાસત્તાક દિન 	Republic Day 
2275	ભારતની લાઇસન્સ પ્લેટ	Vehicle registration plates of India
2276	કે.લાલ	K Lal
2278	ગ્રહ	Planet
2279	તારાપુર	Tarapur, Gujarat
2280	ભગવદ્ગોમંડલ	Bhagavadgomandal
2281	આસામીઝ ભાષા	Assamese language
2282	બંગાળી ભાષા	Bengali language
2283	બોડો ભાષા	Bodo language
2284	ડોગરી ભાષા	Dogri language
2285	કાશ્મીરી ભાષા	Kashmiri language
2286	કોંકણી ભાષા	Konkani language
2287	મણિપુરી ભાષા	Meitei language
2288	ઓડિઆ ભાષા	Odia language
2289	પંજાબી ભાષા	Punjabi language
2290	સંથાલી ભાષા	Santali language
2291	ઉર્દૂ ભાષા	Urdu
2292	માહે	Mahé, Puducherry
2293	માહે જિલ્લો	Mahé district
2294	કુબેર	Kubera
2295	ગ્રેનવિલ ઔસ્ટિન	Granville Austin
2296	દાંતનું ચોકઠું	Dentures
2297	અતુલ 	Atul, Gujarat
2298	ભાષા-બં	Lang-bn
2299	પારનેરા	Parnera
2300	માલવણ	Malwan
2302	અંબિકા નદી	Ambika River
2303	રાજપીપલા	Rajpipla
2308	સ્વિડન	Sweden
2310	વિશ્વની સાત મોટી ભૂલો	Seven Social Sins
2311	અપ્પુઘર	Appu Ghar
2312	શ્રીમદ્ ભાગવતમ્	Bhagavata Purana
2314	જ્યોતિર્લિંગ	Jyotirlinga
2315	યુનાઇટેડ કિંગડમ	United Kingdom
2316	અવાજની ઝડપ	Speed of sound
2317	ક્ષેત્રફળ પ્રમાણે વિશ્વના દેશોની યાદી	List of countries and dependencies by area
2318	ભવનાથ	Bhavnath
2319	બિલખા	Bilkha
2320	વાછાવડ	Vachhavad
2321	રવિવાર	Sunday
2322	અઠવાડિયું	Week
2323	સોમવાર	Monday
2324	મંગળવાર	Tuesday
2325	બુધવાર	Wednesday
2326	ગુરુવાર	Thursday
2327	શુક્રવાર	Friday
2328	શનિવાર	Saturday
2329	બાળગીત	Children's songs
2330	પર્થ	Perth
2331	ક્ષત્રિય	Kshatriya
2332	માર્ગ	Road
2333	દમણ જિલ્લો	Daman district, India
2334	દીવ જિલ્લો	Diu district
2335	દમણ તાલુકો	Daman Tehsil
2336	દમણ અને દીવ	Daman and Diu
2337	દમણ જિલ્લો	Daman district, India
2338	સ્ટુટગાર્ટ	Stuttgart
2339	દાદરા અને નગરહવેલી જિલ્લો	Dadra and Nagar Haveli district
2340	દાદરા અને નગરહવેલી	Dadra and Nagar Haveli
2341	દાદરા, દાદરા અને નગરહવેલી	Dadra, Dadra and Nagar Haveli
2342	પ્રહલાદ	Prahlada
2345	નવસારી જિલ્લો	Navsari district
2346	સારાવાક ગુફા	Sarawak Chamber
2347	ભારતમાં ટી.વી. ચેનલો	List of Hindi-language television channels
2348	ધુમ્મસ	Fog
2349	ઉત્તર ગોઆ જિલ્લો	North Goa district
2350	ગોઆ	Goa
2351	દક્ષિણ ગોઆ જિલ્લો	South Goa district
2352	વિશ્વ જળ દિન	World Water Day
2353	માર્ચ ૨૨	March 22
2354	માર્ચ ૨૪	March 24
2355	માર્ચ ૨૦	March 20
2356	માર્ચ ૮	March 8
2357	માર્ચ ૧૨	March 12
2358	આંતરરાષ્ટ્રીય મહિલા દિન	International Women's Day
2359	વિશ્વ ક્ષય દિન	World Tuberculosis Day
2360	વિશ્વ	World
2361	આરોગ્ય	Health care
2362	ઍફીલ ટાવર	Eiffel Tower
2363	લોકગીત	Contemporary folk music
2364	જાન્યુઆરી ૧	January 1
2365	ઓગસ્ટ ૧૫	August 15
2366	માર્ચ ૨૧	March 21
2367	સિદ્ધગિરિ ગ્રામજીવન સંગ્રહાલય	Siddhagiri Gramjivan Museum 
2368	માસ	Month header
2369	માર્ચ ૧૯	March 19
2370	ચિત્રલેખા	Chitralekha 
2371	કછોલી	Kachholi
2372	દેવસર	Devsar
2373	નાંદરખા	Nandarkha
2374	હાથી	Elephant
2375	ઘોડો	Horse
2376	ડાંગ જિલ્લો	Dang district
2377	વિશ્વ વન દિવસ	International Day of Forests
2378	યુ.જી.કૃષ્ણમુર્તિ	U. G. Krishnamurti
2379	માર્ચ ૨૩	March 23
2380	રાજગુરુ	Shivaram Rajguru
2381	સુખદેવ	Sukhdev Thapar
2382	રામ મનોહર લોહિયા	Ram Manohar Lohia
2383	અમદાવાદ જિલ્લો	Ahmedabad district
2384	માર્ચ ૨૫	March 25
2385	માર્ચ ૨૬	March 26
2386	ઇ-મેઇલ	Email
2387	પણજી	Panaji
2388	રાષ્ટ્રીય ધોરી માર્ગ નં. ૮	National Highway 8 
2389	વિરાવળ	Viraval, Navsari
2390	માર્ચ ૨૭	March 27
2391	સુરત જિલ્લો	Surat district
2392	મૈથિલીશરણ ગુપ્ત	Maithili Sharan Gupt
2393	વલસાડ જિલ્લો	Valsad district
2394	ચણોદ 	Chanod, Valsad
2395	માર્ચ ૨૮	March 28
2396	ડુંગરા 	Dungra
2397	સૌરમંડળ	Solar System table
2398	સિરસ 	Ceres 
2399	ઉદવાડા 	Udvada
2400	હૌમેયા 	Haumea
2401	૧	1
2402	ગુજરાતી અંક	Gujarati numerals
2403	સંખ્યા	Numbers
2404	૦ 	0
2405	વાપી	Vapi
2406	પત્તા	Playing card
2407	ચેસ	Chess
2408	અવયવ	Divisor
2409	માર્ચ ૨૯	March 29
2410	સૌરમંડળ	Solar System
2411	ઉલ્કા	Meteoroid
2412	માર્ચ ૩૦	March 30
2413	માર્ચ	March
2414	માર્ચ ૩૧	March 31
2415	મંગળના ચંદ્રો	Moons of Mars
2417	એપ્રિલ ૧	April 1
2418	રાજકોટ જિલ્લો	Rajkot district
2419	કોઠારીયાતા.રાજકોટ	Kotharia, Rajkot
2420	એપ્રિલ ફૂલ્સ ડે	April Fools' Day
2421	ડુંગરી 	Dungri
2422	એપ્રિલ ૨	April 2
2423	નારગોલ	Nargol
2424	સંજાણ	Sanjan, Gujarat
2425	એપ્રિલ ૩	April 3
2426	એપ્રિલ ૪	April 4
2427	ભાખરી	Bhakri
2428	એપ્રિલ ૫	April 5
2429	આજી નદી	Aji River 
2430	એપ્રિલ ૬	April 6
2431	મચ્છુ નદી	Machchhu River
2432	ભગવદ ગીતા	Bhagavad Gita
2433	એપ્રિલ ૭	April 7
2434	એપ્રિલ ૮	April 8
2435	રામનારાયણ પાઠક	Ramnarayan V. Pathak
2436	એપ્રિલ ૯	April 9
2437	પિરામિડ	Pyramid
2438	તાજ મહેલ	Taj Mahal
2439	એપ્રિલ ૧૦	April 10
2440	સરદાર પટેલ યુનિવર્સિટી	Sardar Patel University
2441	એપ્રિલ ૧૧	April 11
2442	એપ્રિલ	April
2443	યુરેશીયા	Eurasia
2444	સરધાર	Sardhar
2446	પીઝાનો ઢળતો મિનારો	Leaning Tower of Pisa
2447	એપ્રિલ ૧૨	April 12
2448	ભરૂચ જિલ્લો	Bharuch district
2449	માધવળ	Maghval
2450	એપ્રિલ ૧૩	April 13
2451	ખારાઘોડા	Kharaghoda
2452	એપ્રિલ ૧૪	April 14
2453	ખાલસા	Khalsa
2454	નાનકશાહી પંચાંગ	Nanakshahi calendar
2455	નેત્રંગ	Netrang
2456	તાપી જિલ્લો	Tapi district
2457	એપ્રિલ ૧૫	April 15
2458	મધુપ્રમેહ	Diabetes mellitus
2459	ચયાપચય	Metabolism
2460	પૌરાણિક પાત્રો	Mythological characters
2461	રામાયણ	Ramayana
2462	કુતુબ મિનાર	Qutb Minar
2463	ગીઝાનો મહાન પિરામિડ	Great Pyramid of Giza
2464	એપ્રિલ ૧૬	April 16
2465	લારા દત્તા	Lara Dutta
2466	કર્ણાટક	Karnataka
2467	કેન્દ્રશાસિત પ્રદેશો	Union Territories of India
2468	ખેડા જિલ્લો	Kheda district
2469	ગુજરાતનાં રેલ્વે સ્ટેશનો	Railway stations in Gujarat
2470	નર્મદા જિલ્લો	Narmada district
2471	નાગાલેંડ	Nagaland
2472	પંચમહાલ જિલ્લો	Panchmahal district
2473	પશ્ચિમ બંગાળ	West Bengal
2474	પૌરાણિક કથા	Mythology
2475	મધ્ય પ્રદેશ	Madhya Pradesh
2476	મણિપુર	Manipur
2477	મિઝોરમ	Mizoram
2478	રાજકારણ	Politics
2479	વડોદરા જિલ્લો	Vadodara district
2480	વ્રતો	Observances
2481	સાબરકાંઠા જિલ્લો	Sabarkantha district
2482	હિમાચલ પ્રદેશ	Himachal Pradesh
2483	રહીમ	Abdul Rahim Khan-I-Khana
2484	હીરાવાડી	Hiravadi
2485	રસખાન	Raskhan
2486	Infobox University	Infobox university
2487	નીશાણા 	Nishana, Songadh
2488	સંત રવિદાસ	Ravidas
2491	વેકુર	Vekur
2492	અબ્રામા 	Abrama
2493	ચીજગામ	Chijgam
2494	દાંડી 	Dandi, Navsari
2495	મહુવર	Mahuvar
2496	વીજલપોર	Vijalpor
2497	માધવપુર ઘેડ	Madhavpur Ghed
2498	સીમલક	Simlak
2499	મરોલી 	Maroli
2500	ભૃગુ	Bhrigu
2501	અંગિરસ	Angiras 
2502	છત્તીસગઢ	Chhattisgarh
2503	જૈમિનિ	Jaimini
2504	કાલકા-શિમલા રેલ્વે	Kalka–Shimla railway
2505	સિંધુ સંસ્કૃતિનાં સ્થળો	Indus Valley Civilisation sites
2506	પુરાતન સ્થળો	Archaeological sites in India
2507	હરીપુરા 	Haripura
2509	એપ્રિલ ૨૧	April 21
2510	એપ્રિલ ૧૭	April 17
2511	એપ્રિલ ૧૮	April 18
2512	એપ્રિલ ૧૯	April 19
2513	એપ્રિલ ૨૦	April 20
2514	વિલિયમ વિલ્સન	William Wilson 
2515	એપ્રિલ ૨૨	April 22
2516	ગાર્ગી	Gargi Vachaknavi
2517	વસિષ્ઠ	Vasishtha
2518	વિશ્વામિત્ર	Vishvamitra
2519	જમદગ્નિ	Jamadagni
2520	કડોદ	Kadod
2521	કોલોસીયમ	Colosseum
2523	ગૌતમ	Gautama Maharishi
2524	૧૮૪૪ જન્મ	1844 births
2525	૧૯૧૨ અવસાન	1912 deaths
2526	એપ્રિલ ૨૩	April 23
2527	જનક	Janaka
2528	યયાતિ	Yayati
2529	ચલથાણ	Chalthan
2530	પ્રમુખ સ્વામી	Pramukh Swami Maharaj
2531	પુરાતન દુનિયાની સાત અજાયબીઓ	Seven Wonders of the Ancient World
2532	રાજપૂત	Rajput
2533	વાલ્મીકિ	Valmiki
2534	એપ્રિલ ૨૪	April 24
2535	એપ્રિલ ૨૫	April 25
2536	કોસંબા	Kosamba
2537	Meneerke bloem	meneerke bloem
2538	તરસાડી 	Tarasadi
2539	કઠોર 	Kathor
2540	એપ્રિલ ૨૬	April 26
2541	વિશ્વ બૌદ્ધિક સંપદા દિન	World Intellectual Property Day
2542	ટાન્ઝાનિયા	Tanzania
2543	ગેસ્ટાપો	Gestapo
2544	એપ્રિલ ૨૭	April 27
2545	કોમ્પ્યુટર માઉસ	Computer mouse
2546	એરબસ એ ૩૮૦	Airbus A380
2547	ફ્રિડમ ટાવર	One World Trade Center
2548	નાસા	NASA
2549	સોવિયેત યુનિયન	Soviet Union
2550	બેટમેન 	Batman
2551	એપ્રિલ ૨૮	April 28
2552	ગૂગલ અર્થ	Google Earth
2553	ગૂગલ અનુવાદ	Google Translate
2555	બરબોધન	Barbodhan
2556	એપ્રિલ ૨૯	April 29
2557	આંતરરાષ્ટ્રીય નૃત્ય દિવસ	International Dance Day
2558	સાયણ	Sayan, India
2559	સંતરુ 	Orange 
2560	એપ્રિલ ૩૦	April 30
2561	ડુમસ	Dumas Beach
2562	કોસાડ	Kosad
2563	બિરસા મુંડા	Birsa Munda
2564	વર્ષના દિવસો	Days of the year
2565	મે ૧	May 1
2566	સચીન	Sachin, Gujarat
2567	રામપરા,તા.રાજકોટ	Rampara, Rajkot district
2568	હલેન્ડા,તા.રાજકોટ	Halenda
2569	ચિત્રાવાવ,તા.રાજકોટ	Chitravav
2570	પશુપાલન	Animal husbandry
2571	મે ૨	May 2
2572	મે	May
2573	મે ૩	May 3
2574	મે ૪	May 4
2575	જાન્યુઆરી ૦	January 0
2576	મે ૫	May 5
2577	યુરોપ દિન	Europe Day
2578	આંતરરાષ્ટ્રીય દાયણ દિવસ	International Midwives' Day
2579	આંતરરાષ્ટ્રીય પરીચારિકા દિવસ	International Nurses Day
2580	અખરોટ	Juglans regia
2581	ડુમખલ 	Dumkhal
2582	મે ૬	May 6
2583	ગીર રાષ્ટ્રીય ઉદ્યાન અને અભયારણ્ય	Gir National Park
2584	મે ૭	May 7
2585	વાંદરું	Gray langur
2586	સસ્તન પ્રાણીઓ	Mammals
2587	માકડું	Rhesus macaque
2588	મે ૮	May 8
2589	સિંહ 	Løve
2590	મે ૯	May 9
2591	ભારતીય જીવનવીમા નિગમ	Life Insurance Corporation
2592	મે ૧૦	May 10
2593	નમિતા કપૂર	Namitha
2594	મે ૧૧	May 11
2595	અનુષ્કા શેટ્ટી	Anushka Shetty
2596	એક્યુપ્રેસર	Acupressure
2597	મે ૧૨	May 12
2598	મે ૧૩	May 13
2599	લાલ કિલ્લો	Red Fort
2600	મે ૧૪	May 14
2601	મે ૧૫	May 15
2602	મે ૧૬	May 16
2603	સંચળ	Kala namak
2604	મે ૧૭	May 17
2605	સોફ્ટવેર	Software
2606	મે ૧૮	May 18
2607	મે ૧૯	May 19
2608	મે ૨૦	May 20
2609	મે ૨૧	May 21
2610	મે ૨૨	May 22
2611	મે ૨૩	May 23
2612	વિશ્વ કાચબા દિવસ	World Turtle Day
2613	દિલ્હી મેટ્રો રેલ	Delhi Metro
2614	કાચબો	Turtle
2615	સેમ્યુઅલ મોર્સ	Samuel Morse
2616	આંબેડકર નેશનલ કોંગ્રેસ	Ambedkar National Congress
2617	ભારતીય નાગરિક સભ્યો	Indian Wikipedians
2618	૧૦૨ 	102
2619	૧૦ 	10
2620	ઉપાસની મહારાજ	Upasni Maharaj
2621	જીવનકાળ	Lifetime
2622	૧૮૭૦ જન્મ	1870 births
2623	૧૯૪૧ અવસાન	1941 deaths
2624	હિંદુ સંત	Hindu saints
2625	૧૯૭૯ જન્મ	1979 births
2626	ગુજરાતના જિલ્લાઓ	Districts of Gujarat
2627	ભાવનગર જિલ્લો	Bhavnagar district
2628	આણંદ જિલ્લો	Anand district
2629	મે ૨૮	May 28
2630	મે ૨૭	May 27
2631	મે ૨૬	May 26
2632	ખડોતિયા જૈન તીર્થ	Khadotiya
2633	પંચગવ્ય	Panchagavya
2634	મે ૨૯	May 29
2635	બોલપેન	Ballpoint pen
2636	મે ૨૪	May 24
2637	કોલા હોલ	Kola Superdeep Borehole
2638	અરડોઈ	Ardoi
2639	મે ૩૦	May 30
2640	મે ૩૧	May 31
2641	મે ૨૫	May 25
2642	ભાડવા	Bhadva
2643	ચિત્તો	Cheetah
2644	દિપડો	Leopard
2645	હેણોતરો	Caracal
2646	રણ બિલાડી	African wildcat
2647	કાટવર્ણી ટપકાંવાળી બિલાડી	Rusty-spotted cat
2648	ચક્તાવાળી બિલાડી	Leopard cat
2650	બનાસકાંઠા જિલ્લો	Banaskantha district
2651	જૂન ૧	June 1
2652	જૂન	June
2653	અંદાડા	Andada
2654	જંગલી બિલાડી	Jungle cat
2655	વરૂ	Indian wolf
2656	શાકભાજી	Vegetables
2657	જંગલી કૂતરો	Dhole
2658	શિયાળ	Golden jackal
2659	માંડવા બુઝર્ગ	Mandva
2660	વનસ્પતિ	Plants
2661	જૂન ૨	June 2
2662	જૂન ૩	June 3
2663	લોંકડી	Bengal fox
2664	રણ લોંકડી	White-footed fox
2665	ઝરખ	Striped hyena
2666	ઘોરખોદિયું	Honey badger
2667	જૂન ૪	June 4
2668	જૂન ૫	June 5
2669	કચ્છ જિલ્લો	Kutch district
2670	મહેસાણા જિલ્લો	Mehsana district
2671	જૂન ૬	June 6
2672	શાસ્ત્રીય ભાષા	Classical language
2673	ટેટ્રીસ 	Tetris
2674	સુનિલ દત્ત	Sunil Dutt
2675	જૂન ૭	June 7
2676	મહેશ ભૂપતિ	Mahesh Bhupathi
2677	આસામ	Assam
2678	ગુલામી પ્રથા	Slavery
2679	આસામના જિલ્લાઓ	Districts of Assam
2680	વિડિયો કેસેટ રેકોર્ડર 	Videocassette recorder
2681	જૂન ૮	June 8
2682	ઓમ શાંતિ ઓમ	Om Shanti Om
2683	પ્રેમ	Love
2684	વિશ્વ મહાસાગરો દિવસ	World Oceans Day
2685	કર્ણાટક રાજ્યના જિલ્લાઓ	Districts of Karnataka
2686	જૂન ૯	June 9
2687	જળ માર્જર	Smooth-coated otter
2688	વીંજ	Small Indian civet
2689	છાણીયું ખાતર	Compost
2690	જૂન ૧૦	June 10
2691	તાડ બિલાડી	Asian palm civet
2692	હેરી પોટર	Harry Potter
2693	માર્કેટિંગ	Marketing
2694	વૈશ્વિક ઉષ્ણતા	Global warming
2695	મ્યુચ્યુઅલ ફંડ	Mutual fund
2696	વિશ્વની અજાયબીઓ	Wonders of the World
2697	સુનીતા વિલિયમ્સ	Sunita Williams
2698	દીપિકા પદુકોણ	Deepika Padukone
2699	વિકીમેપિયા	Wikimapia
2700	યુટ્યુબ	YouTube
2701	સંક્ષિપ્ત સંદેશ સેવા	SMS
2702	હેરી પોટર એન્ડ ધ ડેથલી હેલોઝ	Harry Potter and the Deathly Hallows
2703	કુદરતી સંપત્તિ	Natural resource
2704	બર્મુડા ત્રિકોણ	Bermuda Triangle
2705	જૂન ૧૧	June 11
2706	દયાદરા 	Dayadra
2707	જૂન ૧૨	June 12
2708	વિશ્વ બાળમજૂરી વિરોધ દિન	World Day Against Child Labour
2709	બિલ ગેટ્સ	Bill Gates
2710	જૂન ૧૩	June 13
2711	જૂન ૧૪	June 14
2712	વિશ્વ રક્તદાન દિવસ	World Blood Donor Day
2713	એબીઓ રક્તસમુહ પ્રણાલી	ABO blood group system
2714	જૂન ૧૫	June 15
2715	પાંડુરંગ શાસ્ત્રી આઠવલે	Pandurang Shastri Athavale
2716	ધ્વનિ પ્રદૂષણ	Noise pollution
2717	વિલિયમ શેક્સપીયર	William Shakespeare
2718	કોમ્પ્યુટર વાયરસ	Computer virus
2719	ફૂલ	Flower
2720	વેબ શોધ એન્જીન	Search engine 
2721	વિશ્વ કુસ્તી મનોરંજન	WWE
2722	પાણીનું પ્રદૂષણ	Water pollution
2723	વૈશ્વિકરણ	Globalization
2724	કેરવાડા 	Kerwada
2725	આછોદ	Achhod
2726	ઇખર	Ikhar
2727	જૂન ૧૬	June 16
2728	ચિત્તરંજનદાસ	Chittaranjan Das
2729	જૂન ૧૭	June 17
2730	જૂન ૧૮	June 18
2731	સૈયદ મુસ્તાક અલી	Syed Mushtaq Ali
2732	વિજય મર્ચંટ	Vijay Merchant
2733	ઉદય મર્ચંટ	Uday Merchant
2734	માહિતીચોકઠું રોગ	Infobox medical condition
2735	માઉન્ટ એવરેસ્ટ	Mount Everest
2736	જૂન ૧૯	June 19
2737	જૂન ૨૦	June 20
2738	રમાકાન્ત દેસાઈ	Ramakant Desai
2740	હિમાલય	Himalayas
2741	પર્વતો	Mountains
2743	બાહુબલી	Bahubali
2744	જૂન ૨૧	June 21
2745	જૂન ૨૨	June 22
2746	ગોલાદરા 	Goladara
2747	જૂન ૨૩	June 23
2748	ટેક્લોબેન	Tacloban
2749	એડિલેઇડ	Adelaide
2750	ઓસ્ટ્રેલિયા	Australia
2751	જૂન ૨૪	June 24
2752	ઇજનેરી	Engineering
2753	બિહાર	Bihar
2754	વૈશ્વિક સ્થળનિર્ધારણ પ્રણાલી	Global Positioning System
2755	માઇકલ જેકસન	Michael Jackson
2756	જૂન ૨૫	June 25
2757	નિશા ગણાત્રા	Nisha Ganatra
2758	દાલ સરોવર	Dal Lake
2759	જૂન ૨૬	June 26
2760	Softredirect	Soft redirect
2761	હરકી પૈડી	Har Ki Pauri
2762	તિથિ	Tithi
2763	જૂન ૨૭	June 27
2764	જૂન ૨૮	June 28
2765	કિરણ બેદી	Kiran Bedi
2766	મૂળશંકર ભટ્ટ	Mulshankar Bhatt
2767	જૂન ૨૯	June 29
2768	જૂન ૩૦	June 30
2769	કાયામ્બે 	Cayambe 
2771	જુલાઇ ૧	July 1
2772	જુલાઇ ૨	July 2
2773	જુલાઇ ૩	July 3
2774	બાંદ્રા-વરલી સમુદ્રસેતુ	Bandra–Worli Sea Link
2775	પર્લ	Perl
2776	ભારતનો ઇતિહાસ	History of India
2777	પ્રદૂષણ	Pollution
2778	કામસૂત્ર	Kama Sutra
2779	મત્સ્ય પુરાણ	Matsya Purana
2780	ગાંઠિયા	Ganthiya
2781	જુલાઇ ૭	July 7
2782	ગુરુ હરકિશન	Guru Har Krishan
2783	વિક્રમ બત્રા	Vikram Batra
2784	સારનાથ	Sarnath
2785	કૈલાસનાથ મંદિર, કાંચીપુરમ	Kanchi Kailasanathar Temple
2786	બાજરો	Pearl millet
2787	જુલાઇ ૮	July 8
2788	જુલાઇ ૯	July 9
2789	જુલાઇ ૧૦	July 10
2790	જુલાઇ ૪	July 4
2791	પેચીયું 	Screwdriver
2792	જુલાઇ ૧૧	July 11
2793	વિશ્વ જનસંખ્યા દિન	World Population Day
2794	રામસેતુ	Adam's Bridge
2796	જુલાઇ ૧૨	July 12
2797	જુલાઇ ૧૩	July 13
2798	ઘઉં	Wheat
2799	સાર્વજનિક કોલેજ ઓફ એન્જિનિયરીંગ એન્ડ ટેકનોલોજી	Sarvajanik College of Engineering and Technology
2801	જુલાઇ ૧૪	July 14
2802	જુલાઇ	July
2803	ગુજરાતી ભોજન	Gujarati cuisine
2804	જુલાઇ ૧૫	July 15
2805	ઇસ્લામીક પંચાંગ	Islamic calendar
2806	ભુજ હવાઇમથક	Bhuj Airport
2807	ગુજરાતી ભોજન	Gujarati cuisine
2808	અમરેલી જિલ્લો	Amreli district
2809	ગાંધીનગર જિલ્લો	Gandhinagar district
2810	દાહોદ જિલ્લો	Dahod district
2811	પોરબંદર જિલ્લો	Porbandar district
2812	સુરેન્દ્રનગર જિલ્લો	Surendranagar district
2813	જામનગર જિલ્લો	Jamnagar district
2814	જુલાઇ ૧૬	July 16
2815	જુલાઇ ૧૭	July 17
2816	આંતરરાષ્ટ્રીય ન્યાય દિન	World Day for International Justice
2817	વેબસાઇટ	Websites
2818	પુરી 	Puri 
2819	જુલાઇ ૧૮	July 18
2820	પ્રિયંકા ચોપરા	Priyanka Chopra
2821	અક્ષૌહિણી	Akshauhini
2822	Country data	Flag data
2823	Country flag2	Flag/core
